Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
10794,4.06,21798.87,837.87,5.52,8058.26,32681.96,23,19602.15,643,50250367
10811,4.07,21730.63,592.81,6.25,8011.59,32579.65,1.59,19966.6,800,50600818
10786,3.83,19349.6,867.42,12.01,7566.78,29009.89,3.08,18874.13,1080,50990615
10751,3.8,18729.36,455.3,15.82,6908,26216.6,46.45,18841.9,1157,51413698
10772,3.84,19187.59,484.11,16.83,6872.4,26372.1,20,19596.28,1188,51852451
12431,1.94,9167.25,1586.32,10.31,7096,13744,,7566.24,194,37963278
13150,1.83,8279.47,2108,12.16,6780,12413,,7663.14,209,39058603
13900,1.92,9937.63,846.33,10.79,7743,14899,,8064.94,270,40159582
14624,1.83,8928.46,1044.34,13.76,7333,13386,,8059.89,332,41252324
14900,1.83,10205.1,948.83,12.09,8357,15300,,8416.24,352,42326312
15164,1.84,10050.36,1959.78,15.64,8167,15068,,8243.75,392,43377271
15773,1.59,9285.31,2927.3,17.25,8750,13921,,8113.52,445,44405904
16108,1.96,11652.49,1604.57,17.87,8935,17470,,9182.79,529,45413080
16315,1.82,10510.59,2791.71,17.74,8654,15758,,8455.53,590,46401754
16515,1.89,11584.52,2794.07,16.66,9200.08,17368.1,,8418.58,719,47374472
16855,1.95,11855.47,3025.74,18.58,9105.03,17774.32,,8446.12,752,48326274
17199,1.89,11257.97,3779.46,18.7,8940.02,16878.51,,7990.47,774,49255900
17293,2.04,13039.14,3471.31,27.8,9606.01,19548.94,,8773.6,835,50173924
17401,2.07,13276.52,4596.79,25.61,9629.71,19904.82,,8482.35,854,51094868
17693,2.06,13516,4045.45,25.35,9833.07,20263.87,,8152.95,776,52026901
17810,2.05,12585.06,4511.96,31.56,9194.02,18868.16,,8373.99,840,52980094
17930,2.01,12291.66,4437.88,35.13,9147.08,18428.27,,8346.94,969,53945881
17728,2.15,14182.35,5258.93,43.47,9905.93,21262.9,,8385.28,1159,54891520
17581,2.09,13740.87,6308.27,46.57,9879.04,20601.01,,7989.71,1350,55772169
17494,1.96,11467.88,4009.87,59.67,8791.88,17193.22,,8039.53,1571,56558186
17510,2.25,13606.8,4324.59,54.95,9052.96,20400,0.01,8528.5,1777,57232465
17238,2.17,13284.64,5144.36,64.85,9159.68,19917,,8267.85,2026,57811021
17085,2.17,13026.51,4980.28,85.16,9000,19530,,8079.62,2234,58337773
16860,2.35,14081.04,4846.31,80.66,8975.23,21111,,8560.83,2515,58875269
16839,2.42,14684.34,6188.52,89.49,9112.95,22015.5,0.07,8549.36,2872,59467274
16563,2.41,14895.18,5442.26,91.76,9267.2,22331.6,0.19,9304.78,3071,60130186
16242,2.38,15727.86,5552.66,91.18,9912.79,23580,0.32,9428.97,2493,60846582
15932,2.47,15641.15,6524.36,102.75,9511.52,23450,0.84,9581.91,1867,61585103
15867,2.42,16122.72,6827.44,111.11,9969.92,24172,1.41,9553.56,2057,62298571
15654,2.61,17237.87,6128.67,99.71,9891.2,25843.88,0.52,10437.38,2031,62952642
15578,2.77,18698.51,7673.26,108.11,10125.42,28033.75,0.26,10353.77,1922,63539196
15389,2.9,18670.54,7328.42,110.52,9653.53,27991.82,0.9,10463.93,2133,64069087
15200,2.9,19658.84,8383.48,149.18,10163.88,29473.52,7.92,10790.13,2405,64549866
15200,2.86,19035,9970.8,131.7,9992.87,28538.23,1.07,10875.02,2715,64995299
15200,2.96,20204.68,7508.58,112.73,10224.97,30291.87,2.38,11510.37,2956,65416189
15200,2.92,19771.13,7414.58,117.4,10165.16,29641.87,1.63,11677.3,3442,65812536
15200,3.01,21410.3,9165.2,124.95,10668.9,32099.4,3.15,11874.56,4058,66182067
15250,2.96,21110.97,10186.68,130.52,10683.55,31650.63,13.61,12422.41,4471,66530984
15695,2.88,21421.41,8594.92,122.06,11141.45,32116.06,20.83,12526.74,4298,66866839
15760,2.88,22950.8,8905.75,162.16,11932.32,34409,5.27,12981.17,5175,67195028
15760,3.1,24097.62,10671.19,161.51,11649.51,36128.37,10.63,13053.47,5601,67518382
16560,3.18,24991.76,6704.3,150.96,11956.78,38000.19,25.74,13732.28,5979,67835957
16810,3.15,24053.75,6787.8,167.69,11684.32,36762.28,21.31,13605.34,6296,68144501
5125,5.24,7204.12,854.16,373.66,2698,14148,48.65,7842.27,2272,105697000
5057,5.85,7872.56,182.68,407.81,2643,15450.5,4.7,7920.98,2967,107188000
5015,6.02,8042.82,514.12,447.68,2622,15778,24.48,7964.74,3998,108079000
4978,5.86,8136.81,281.06,411.93,2724,15964,62.08,7986.32,4354,110162000
4945,6.19,8716.65,10.07,364.27,2764,17097.01,35.04,7972.05,4659,111940000
4921,5.48,7786.54,0.22,423.9,2779,15228,20.96,7847.27,5198,112771000
4911,6.17,8669.39,16.78,432.5,2757,17006,43.1,7713.81,6336,113863000
4898,6.18,8335.37,73.8,453.45,2548,15736,62.09,7597.77,8822,114898000
4882,5.99,7915.96,559.68,480.13,2497,14948,14.99,7472.24,9105,115870000
4874,5.13,6445.35,649.95,372.59,2377,12189,13.81,7376.12,9466,116782000
4861,5.63,6781.51,788.81,386.55,2278,12824,75.41,7347.86,10364,117648000
4852,5.69,6786.32,318.45,409.01,2257,12838,65.96,7285.03,9578,118449000
4843,5.7,6848.76,320.27,433.29,2273,12958,13.82,7272.85,10424,119259000
4836,6.41,7856.19,101.84,433.81,2315,14848,150.33,7330.29,10982,120018000
4830,6.22,7714.79,0.14,419.05,2342,14578,19.61,7303.68,11580,120754000
4820,6.32,7708.39,0.06,425.85,2303,14559,20.65,7230.01,17118,121492000
4814,6.19,7034.98,0.03,423.06,2146,13284,17.17,7081.05,20756,122091000
4806,5.89,6574.48,0.03,404.29,2110,12419,16.01,6994.33,25065,122613000
